px,py,c
5.0,6.928203230275509,1
5.5,7.794228634059947,1
6.0,8.660254037844386,1
6.5,9.526279441628825,1
7.0,10.392304845413264,1
7.5,11.258330249197702,1
5.0,5.196152422706632,1
5.5,6.06217782649107,1
6.0,6.928203230275509,1
6.5,7.794228634059947,1
7.0,8.660254037844386,1
7.5,9.526279441628825,1
8.0,10.392304845413264,1
8.5,11.258330249197702,2
9.0,12.12435565298214,1
5.5,4.330127018922193,1
6.0,5.196152422706632,1
6.5,6.06217782649107,1
7.0,6.928203230275509,3
7.5,7.794228634059947,3
8.0,8.660254037844386,2
8.5,9.526279441628825,1
9.0,10.392304845413264,1
9.5,11.258330249197702,1
10.0,12.12435565298214,1
6.0,3.4641016151377544,1
6.5,4.330127018922193,1
7.0,5.196152422706632,1
7.5,6.06217782649107,3
8.0,6.928203230275509,3
8.5,7.794228634059947,3
9.0,8.660254037844386,2
9.5,9.526279441628825,2
10.0,10.392304845413264,2
10.5,11.258330249197702,1
11.0,12.12435565298214,1
6.5,2.598076211353316,1
7.0,3.4641016151377544,1
7.5,4.330127018922193,1
8.0,5.196152422706632,3
8.5,6.06217782649107,3
9.0,6.928203230275509,3
9.5,7.794228634059947,3
10.0,8.660254037844386,1
10.5,9.526279441628825,1
11.0,10.392304845413264,1
11.5,11.258330249197702,1
12.0,12.12435565298214,1
7.0,1.7320508075688772,1
7.5,2.598076211353316,1
8.0,3.4641016151377544,1
8.5,4.330127018922193,1
9.0,5.196152422706632,3
9.5,6.06217782649107,3
10.0,6.928203230275509,3
10.5,7.794228634059947,3
11.0,8.660254037844386,1
11.5,9.526279441628825,1
12.0,10.392304845413264,1
12.5,11.258330249197702,2
13.0,12.12435565298214,1
8.0,1.7320508075688772,1
8.5,2.598076211353316,1
9.0,3.4641016151377544,2
9.5,4.330127018922193,1
10.0,5.196152422706632,3
10.5,6.06217782649107,3
11.0,6.928203230275509,3
11.5,7.794228634059947,1
12.0,8.660254037844386,1
12.5,9.526279441628825,1
13.0,10.392304845413264,1
13.5,11.258330249197702,1
14.0,12.12435565298214,2
8.5,0.8660254037844386,1
9.0,1.7320508075688772,1
9.5,2.598076211353316,1
10.0,3.4641016151377544,1
10.5,4.330127018922193,1
11.0,5.196152422706632,1
11.5,6.06217782649107,2
12.0,6.928203230275509,1
12.5,7.794228634059947,1
13.0,8.660254037844386,1
13.5,9.526279441628825,1
14.0,10.392304845413264,1
14.5,11.258330249197702,1
9.5,0.8660254037844386,1
10.0,1.7320508075688772,1
10.5,2.598076211353316,1
11.0,3.4641016151377544,1
11.5,4.330127018922193,1
12.0,5.196152422706632,1
12.5,6.06217782649107,1
13.0,6.928203230275509,2
13.5,7.794228634059947,1
14.0,8.660254037844386,1
14.5,9.526279441628825,1
15.0,10.392304845413264,1
15.5,11.258330249197702,1
10.5,0.8660254037844386,1
11.0,1.7320508075688772,1
11.5,2.598076211353316,1
12.0,3.4641016151377544,2
12.5,4.330127018922193,1
13.0,5.196152422706632,1
13.5,6.06217782649107,1
14.0,6.928203230275509,1
14.5,7.794228634059947,1
15.0,8.660254037844386,1
15.5,9.526279441628825,2
16.0,10.392304845413264,1
11.5,0.8660254037844386,1
12.0,1.7320508075688772,2
12.5,2.598076211353316,1
13.0,3.4641016151377544,1
13.5,4.330127018922193,2
14.0,5.196152422706632,1
14.5,6.06217782649107,4
15.0,6.928203230275509,4
15.5,7.794228634059947,4
16.0,8.660254037844386,1
16.5,9.526279441628825,1
12.5,0.8660254037844386,1
13.0,1.7320508075688772,2
13.5,2.598076211353316,1
14.0,3.4641016151377544,1
14.5,4.330127018922193,1
15.0,5.196152422706632,4
15.5,6.06217782649107,4
16.0,6.928203230275509,4
16.5,7.794228634059947,4
17.0,8.660254037844386,1
13.5,0.8660254037844386,1
14.0,1.7320508075688772,2
14.5,2.598076211353316,2
15.0,3.4641016151377544,1
15.5,4.330127018922193,2
16.0,5.196152422706632,4
16.5,6.06217782649107,4
17.0,6.928203230275509,4
17.5,7.794228634059947,4
15.0,1.7320508075688772,1
15.5,2.598076211353316,1
16.0,3.4641016151377544,1
16.5,4.330127018922193,1
17.0,5.196152422706632,4
17.5,6.06217782649107,4
